ime,1. registracija,kilometri,gorivo,menjalnik,prostornina motorja [ccm],moc motorja [kW],baterija [kWh],redna cena,akcijska cena [€]
Volkswagen Golf 1.6 TDI Highline 77  105 ,2010,249000,diesel motor,ročni menjalnik,1598,77,nima baterije,6.700,ni akcije
Volkswagen Golf e-Golf. Toplotna črp.. digitalni števci. alcantara,2020,50300,elektro pogon,elektricni,nima prostornine,100,"35,8",27.900,ni akcije
Ford Focus RS 2.3 EcoBoost 257 kW  350 KM  Downpipe,2016,90250,bencinski motor,ročni menjalnik,2261,257,nima baterije,31.560,ni akcije
Audi A4 Avant 35 TDI S tronic+F1+S-LINE+LED ŽAROMETI,2019,124000,diesel motor,avtomatski menjalnik,1968,110,nima baterije,28.670,27.970
BMW serija 1: 118d Advantage.FULL LED.NAVI.,2017,110320,diesel motor,ročni menjalnik,1995,110,nima baterije,16.990,ni akcije
Mercedes-Benz E-Razred E 200 CDI - MOŽNOST FINANCIRANJA ZA TUJCE -ODLIČEN,2010,220000,diesel motor,ročni menjalnik,2143,100,nima baterije,10.500,ni akcije
Volkswagen Passat Variant 2.0 TDI BMT Connect+Alu 18+LED+Key less+Dig.števec,2018,193652,diesel motor,ročni menjalnik,1968,110,nima baterije,18.490,ni akcije
Audi A4 2.0 TDI Business Edition 105  143 ,2012,123000,diesel motor,ročni menjalnik,1968,105,nima baterije,12.800,ni akcije
BMW serija X5: xDrive40e iPerformance  VSA DODATNA OPREMA,2016,189000,hibridni pogon,avtomatski menjalnik,1997,230,nima baterije,32.900,ni akcije
Audi Q3 2.0 TDI 110  150  Style,2017,44200,diesel motor,ročni menjalnik,1968,110,nima baterije,24.900,ni akcije
BMW serija X6: xDrive30d - M Sport GARANCIJA+JAMSTVO,2020,58900,diesel motor,avtomatski menjalnik,2993,210,nima baterije,84.690,80.900
Alfa Romeo Giulia 2.9 V6 Bi-Turbo AUT Quadrifoglio -510 konjev,2017,77300,bencinski motor,avtomatski menjalnik,2891,375,nima baterije,50.555,ni akcije
Audi A3 2.0 TDI quattro LED ŽAROMETI + NAVI + 5 LET JAMST.,2016,137733,diesel motor,ročni menjalnik,1968,110,nima baterije,18.980,ni akcije
Ford Mustang Mach-E 99 kWh 351 KM-AWD-DOSEG 540 KM - NA ZALOGI,NOVO,0,elektro pogon,elektricni,nima prostornine,258,"98,8",86.940,ni akcije
Volkswagen Golf 2.0 TDI  -ACTIVE-1.LAST-36.722KM-1.LAST-BREZ POLOG,2021,36722,diesel motor,ročni menjalnik,1968,85,nima baterije,25.999,ni akcije
Volvo XC60 D3 avt. 5 VALJEV,2014,242745,diesel motor,avtomatski menjalnik,1984,100,nima baterije,15.415,ni akcije
